Data Time,Data Value
19-06-2024 05:15,438.92
19-06-2024 05:45,438.9
19-06-2024 06:15,438.91
19-06-2024 06:45,438.91
19-06-2024 07:15,438.91
19-06-2024 08:00,438.91
19-06-2024 09:15,438.91
19-06-2024 10:00,438.9
19-06-2024 10:30,438.91
19-06-2024 11:00,438.91
19-06-2024 12:00,438.91
19-06-2024 12:30,438.91
19-06-2024 13:00,438.91
19-06-2024 13:30,438.91
19-06-2024 14:00,438.91
19-06-2024 14:30,438.91
19-06-2024 15:30,438.91
19-06-2024 16:00,435.82
19-06-2024 16:30,438.91
19-06-2024 17:00,438.92
19-06-2024 18:45,438.92
19-06-2024 19:45,438.92
19-06-2024 20:00,438.92
19-06-2024 20:45,438.94
19-06-2024 21:15,438.92
19-06-2024 22:30,438.93
19-06-2024 23:00,438.93
19-06-2024 23:30,438.93
20-06-2024 00:00,438.94
20-06-2024 01:00,438.93
20-06-2024 01:30,438.94
20-06-2024 02:45,438.94
20-06-2024 03:00,438.94
20-06-2024 03:30,438.94
20-06-2024 04:15,438.93
20-06-2024 05:00,438.94
20-06-2024 06:00,438.93
20-06-2024 06:45,438.93
20-06-2024 07:30,438.92
20-06-2024 08:00,438.91
20-06-2024 09:00,438.91
20-06-2024 09:15,438.91
20-06-2024 10:00,438.9
20-06-2024 10:15,438.9
20-06-2024 10:30,438.9
20-06-2024 11:00,438.9
20-06-2024 11:15,438.9
20-06-2024 12:30,438.9
20-06-2024 13:15,438.9
20-06-2024 13:30,438.9
20-06-2024 14:15,438.89
20-06-2024 15:15,438.9
20-06-2024 15:45,438.89
20-06-2024 16:00,438.89
20-06-2024 17:00,438.89
20-06-2024 18:30,438.89
20-06-2024 18:45,438.89
20-06-2024 19:00,438.88
20-06-2024 19:30,438.91
20-06-2024 19:45,438.89
20-06-2024 20:00,438.88
20-06-2024 20:45,438.89
20-06-2024 21:00,438.9
20-06-2024 21:15,438.9
20-06-2024 22:00,438.89
20-06-2024 23:00,438.9
20-06-2024 23:15,438.89
20-06-2024 23:30,438.89
21-06-2024 00:15,438.89
21-06-2024 00:45,438.89
21-06-2024 01:30,438.9
21-06-2024 02:15,438.9
21-06-2024 03:30,438.9
21-06-2024 04:00,438.9
21-06-2024 05:15,438.9
21-06-2024 06:00,438.89
21-06-2024 06:30,438.89
21-06-2024 08:15,438.88
21-06-2024 08:30,438.88
21-06-2024 09:00,438.88
21-06-2024 09:45,438.86
21-06-2024 10:45,438.87
21-06-2024 12:00,438.87
21-06-2024 12:15,438.87
21-06-2024 12:45,438.87
21-06-2024 13:45,438.88
21-06-2024 14:45,438.87
21-06-2024 15:15,438.87
21-06-2024 16:15,438.89
21-06-2024 17:15,438.85
21-06-2024 18:15,438.86
21-06-2024 19:30,438.85
21-06-2024 19:45,438.85
21-06-2024 20:45,438.85
21-06-2024 21:15,438.86
21-06-2024 22:00,438.86
22-06-2024 00:15,438.87
22-06-2024 01:15,438.87
22-06-2024 01:45,438.87
22-06-2024 02:15,438.87
22-06-2024 02:45,438.87
22-06-2024 03:15,438.87
22-06-2024 04:15,438.87
22-06-2024 05:00,438.87
22-06-2024 05:45,438.87
22-06-2024 06:15,438.87
22-06-2024 07:00,438.87
22-06-2024 07:45,438.88
22-06-2024 09:30,438.86
22-06-2024 11:15,438.86
22-06-2024 11:45,438.86
22-06-2024 12:30,438.87
22-06-2024 13:00,438.87
22-06-2024 13:45,438.89
22-06-2024 14:15,438.89
22-06-2024 14:30,438.88
22-06-2024 15:45,438.9
22-06-2024 16:30,438.88
22-06-2024 16:45,438.88
22-06-2024 17:00,438.87
22-06-2024 19:00,438.86
22-06-2024 19:30,438.87
22-06-2024 20:00,438.87
22-06-2024 21:00,438.86
22-06-2024 21:30,438.87
22-06-2024 22:30,438.87
22-06-2024 22:45,438.88
22-06-2024 23:15,438.89
22-06-2024 23:30,438.89
23-06-2024 00:15,438.88
23-06-2024 01:00,438.88
23-06-2024 01:15,438.89
23-06-2024 01:30,438.89
23-06-2024 02:45,438.87
23-06-2024 03:15,438.88
23-06-2024 04:00,438.87
23-06-2024 04:30,438.88
23-06-2024 04:45,438.88
23-06-2024 05:30,438.88
23-06-2024 05:45,438.88
23-06-2024 06:15,438.89
23-06-2024 07:00,438.87
23-06-2024 07:45,438.88
23-06-2024 08:30,438.87
23-06-2024 11:00,438.9
23-06-2024 11:45,438.88
24-06-2024 09:15,438.86
24-06-2024 09:45,438.85
24-06-2024 10:15,438.85
24-06-2024 11:30,438.87
24-06-2024 12:00,438.86
24-06-2024 13:00,438.88
24-06-2024 13:30,438.86
24-06-2024 14:15,438.85
24-06-2024 15:00,438.84
24-06-2024 15:30,438.86
24-06-2024 15:45,438.87
24-06-2024 16:00,438.86
24-06-2024 16:30,438.85
24-06-2024 17:45,438.85
24-06-2024 18:30,438.85
24-06-2024 19:30,438.85
24-06-2024 20:15,438.84
24-06-2024 20:45,438.83
24-06-2024 21:15,438.84
24-06-2024 22:00,438.85
24-06-2024 22:15,438.84
24-06-2024 22:45,438.85
24-06-2024 23:30,438.84
24-06-2024 23:45,438.85
25-06-2024 01:00,438.85
25-06-2024 01:45,438.86
25-06-2024 02:15,438.85
25-06-2024 02:30,438.85
25-06-2024 04:45,438.85
25-06-2024 05:15,438.86
25-06-2024 07:30,438.84
25-06-2024 08:15,438.85
25-06-2024 09:15,438.83
25-06-2024 09:30,438.83
25-06-2024 10:30,438.83
25-06-2024 10:45,438.83
25-06-2024 11:30,438.83
25-06-2024 13:15,438.83
25-06-2024 13:45,438.84
25-06-2024 14:00,438.84
25-06-2024 15:15,438.83
25-06-2024 15:30,438.83
25-06-2024 16:15,438.83
25-06-2024 17:30,438.82
25-06-2024 18:00,438.83
25-06-2024 18:15,438.83
25-06-2024 19:00,438.83
25-06-2024 19:45,438.83
25-06-2024 20:45,438.83
25-06-2024 21:45,438.84
25-06-2024 22:15,438.84
26-06-2024 00:00,438.85
26-06-2024 01:15,438.84
26-06-2024 01:45,438.83
26-06-2024 02:30,438.84
26-06-2024 03:00,438.83
26-06-2024 03:45,438.83
26-06-2024 04:30,438.83
26-06-2024 05:15,438.84
26-06-2024 06:15,438.82
26-06-2024 06:45,438.82
26-06-2024 07:15,438.82
26-06-2024 07:30,438.83
26-06-2024 08:00,438.84
26-06-2024 09:45,438.83
26-06-2024 10:00,438.83
26-06-2024 10:30,438.83
26-06-2024 11:00,438.82
26-06-2024 11:45,438.83
26-06-2024 12:45,438.82
26-06-2024 13:30,438.82
26-06-2024 13:45,438.83
26-06-2024 14:15,438.82
26-06-2024 14:30,438.82
26-06-2024 16:00,438.83
26-06-2024 16:45,438.82
27-06-2024 10:30,438.85
